Detector Type;descriptorType;matcherType;descriptorFamily;selectorType;;;;;
SHITOMASI;BRISK;MAT_BF;DES_BINARY;SEL_KNN;;Total Time;% Matched KeyPts;Average of total time over 10 images;Average % of Matched Kepts over 10 images
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;Total Time;;;
7;500;5.8675;129;0.514617;68;6.382117;52.71317829;;
8;500;6.05474;127;0.560497;84;6.615237;66.14173228;;
9;500;6.16015;128;0.492016;66;6.652166;51.5625;;
ORB;ORB;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;500;5.87518;92;4.27052;0;10.1457;0;10.15;64.02
1;500;6.01536;102;4.14925;67;10.16461;65.68627451;;
2;500;5.91737;106;4.054;70;9.97137;66.03773585;;
3;500;5.81514;113;4.28598;72;10.10112;63.71681416;;
4;500;5.88141;109;4.21505;84;10.09646;77.06422018;;
5;500;6.1355;125;4.44176;91;10.57726;72.8;;
6;500;5.8797;130;3.83758;101;9.71728;77.69230769;;
7;500;5.82479;129;4.29896;92;10.12375;71.31782946;;
8;500;5.83166;127;4.40938;93;10.24104;73.22834646;;
9;500;6.11732;128;4.27658;93;10.3939;72.65625;;
ORB;FREAK;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;500;6.11886;92;29.9859;0;36.10476;0;37.91;35.35
1;500;6.12852;102;30.019;42;36.14752;41.17647059;;
2;500;5.90642;106;29.9852;36;35.89162;33.96226415;;
3;500;5.95331;113;30.1146;44;36.06791;38.9380531;;
4;500;5.94505;109;30.0668;47;36.01185;43.11926606;;
5;500;6.09957;125;30.0429;44;36.14247;35.2;;
6;500;5.79901;130;30.0489;51;35.84791;39.23076923;;
7;500;5.90563;129;30.0447;52;35.95033;40.31007752;;
8;500;6.09984;127;40.3065;48;46.40634;37.79527559;;
9;500;11.4212;128;33.1202;56;44.5414;43.75;;
ORB;SIFT;MAT_BF;DES_HOG;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;500;6.00986;92;29.2051;0;35.21496;0;34.53;64.15
1;500;5.53273;102;25.0911;67;30.62383;65.68627451;;
2;500;5.36305;106;25.6182;79;30.98125;74.52830189;;
3;500;5.29869;113;26.6296;78;31.92829;69.02654867;;
4;500;5.74715;109;28.1169;79;33.86405;72.47706422;;
5;500;5.48619;125;32.367;82;37.85319;65.6;;
6;500;5.3639;130;27.4749;95;32.8388;73.07692308;;
7;500;5.70027;129;31.3788;95;37.07907;73.64341085;;
8;500;5.77136;127;32.6307;94;38.40206;74.01574803;;
9;500;5.85307;128;30.6866;94;36.53967;73.4375;;
AKAZE;BRISK;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1351;45.4953;166;2.03554;0;47.53084;0;53.9;72.75
